Call,GOTA Call,Final Score,Category,Section,Power Multiplier,Club Name,Participants,Transmitters,Power Source,Total CW QSOs,Total Digital QSOs,Total Phone QSOs,Total QSOs,Bonus Points,Checklog Y/N
N5EN,,1194,1D,STX,2,Northwest ARS,1,1,C,0,261,0,261,150,
N5EOC,,1528,2A,NTX,2,Northeast Tarrant ARC,25,2,B,128,0,33,161,950,
N5EP,,1400,1B1B,WI,5,Fox River Radio League,1,1,B,125,0,0,125,150,
N5GI,,182,1D,NFL,2,,1,1,C,0,0,66,66,50,
N5GK,W5AUU,3064,3A,AR,2,Faulkner Co. ARC,31,3,G,168,0,706,874,980,
N5GSG,,168,1E,NTX,2,Irving ARC,1,1,B,4,0,1,5,150,
N5HD,,786,1D,NTX,2,Richardson Wireless Klub,1,1,C,184,0,0,184,50,
N5KB,,250,1D,IA,2,Minnesota Wireless Assn.,2,1,C,0,0,100,100,50,
N5KIP,,678,1D,NTX,2,Richardson Wireless Klub,1,1,C,132,0,0,132,150,
N5LB,,358,1D,MN,2,Stillwater ARA,1,1,C,77,0,0,77,50,
N5LOW,,682,1D,STX,2,,1,1,C,101,57,0,158,50,
N5MDA (+N5USC),,272,1B2,CO,2,Echelon ARC,2,1,B,1,10,39,50,150,
N5MJ,,90,1D,NM,2,,1,1,C,0,0,20,20,50,
N5MSC,,2053,4A,AR,2,Cross Co. ARC/Crowley Ridge ARC/MidSouth Com.,22,4,B,100,26,177,303,1195,
N5MT,,398,1D,LA,2,Brazos Valley ARC,1,1,C,0,0,124,124,150,
N5NAA,,1450,1B1B,STX,5,,1,1,B,130,0,0,130,150,
N5NEN,,402,1D,STX,2,,1,1,C,1,0,174,175,50,
N5OAK,,1916,6A,STX,2,Oak Hill ARC,6,6,G,5,153,137,295,1010,
N5OS,,2672,7F,MS,2,Jackson Co. ARA,11,7,G,0,234,68,302,1600,
N5OX,,464,2A,WTX,2,Prairie Dog ARC,4,2,B,0,0,57,57,350,
N5PC,,816,3A,OK,2,Kay Co. ARC,20,3,B,15,36,31,82,550,
N5PJ,,1604,2E,OK,2,Oklahoma City Autopatch Assn.,4,2,G,270,0,12,282,500,
N5QNS,,100,1D,WTX,2,,1,1,C,0,0,25,25,50,
N5SMI,,170,1D,TN,2,,2,1,C,0,0,50,50,70,
N5SMQ,,326,1D,VA,2,Valley and Massanutten ARA,1,1,C,0,69,0,69,50,
N5TIT,,434,1C,CO,2,,1,1,G,0,71,0,71,150,
N5TJ,,4834,1D,STX,2,,1,1,C,1174,22,0,1196,50,
N5TT,,3194,4A,STX,2,Williamson Co. ARC,39,4,G,109,183,318,610,1390,
N5UE,,2050,1E,MS,5,,1,1,B,190,0,0,190,150,
N5VBP,,434,3D,OK,2,,6,3,C,0,0,142,142,150,
N5VDQ,,1364,3AC,NTX,2,Venture Crew 520,18,3,C,84,96,147,327,350,
N5VF,,906,1D,VA,2,,1,1,C,202,0,24,226,50,
N5VIS,,646,1D,NFL,2,,1,1,C,0,149,0,149,50,
N5VU,,450,1D,NTX,2,,1,1,C,100,0,0,100,50,
N5WAJ,,1402,3F,STX,2,Houston ECHO Soc./Oak Forest ARC,20,3,C,0,8,85,93,1200,
N5WF,,2578,2A,NTX,2,Wichita ARS,38,2,G,174,226,64,464,850,Y
N5WJS,,178,1D,NTX,2,Dallas ARC,1,1,C,0,32,0,32,50,
N5XJ,,210,1D,STX,2,,1,1,C,40,0,0,40,50,
N5XQK,K5CFY,1876,4A,OK,2,Rogers Co. Wireless Assn.,12,4,B,8,39,94,141,1500,
N5YHF,,1738,1B1C,WTX,2,Oak Hill ARC,1,1,C,0,303,13,316,500,
N5YIZ,,218,1B1,STX,2,Cross Roads Ham RC,1,1,B,0,0,84,84,50,
N5ZY,,730,2E,OK,2,Oklahoma DX Assn.,1,2,B,0,120,0,120,250,
N6ACA,,1220,1AB,EB,5,Livermore AR Klub,3,1,B,0,55,4,59,650,
N6AKO,,382,1D,LAX,2,,1,1,C,0,83,0,83,50,
N6AV,,668,1D,LAX,2,Southern CA Contest Club,1,1,C,152,0,5,157,50,
N6BHX,,150,1D,EB,2,,1,1,C,6,19,0,25,50,
N6BOX,,832,1E,ORG,2,Moreno Valley ARA,1,1,G,0,37,42,79,600,
N6DGM,,322,1E,SB,2,,1,1,B,0,68,0,68,50,
N6DME,,124,1D,SFL,2,Everglades ARC,1,1,C,0,0,37,37,50,
N6DPL,,58,1D,ORG,2,,1,1,C,0,0,4,4,50,
N6DRE,,60,1D,SDG,2,Convair/220 ARC,1,1,C,0,0,5,5,50,
N6DW,,0,1D,VA,1,Franklin Co. (VA) ARC,1,1,C,121,129,0,250,0,Y
N6EWG,,126,1D,SJV,2,,1,1,C,19,0,0,19,50,
N6FQ,,2298,3A,SDG,2,Fallbrook ARC,45,3,G,11,139,314,464,1070,
N6GRM,,770,1B1,EB,2,,1,1,B,0,2,106,108,550,
N6HI,,770,1E,AZ,5,Arizona Outlaws Contest Club,1,1,B,62,0,0,62,150,Y
N6IC,,218,1D,LAX,2,,1,1,C,42,0,0,42,50,
N6IJ,,470,2A,SCV,2,Monterey Bay ARA,9,2,B,2,2,2,6,450,
N6IPD,KN6BMO,3697,2A,ORG,2,Irvine Disaster EmComm,32,2,B,124,133,277,534,2115,
N6IQY,,858,1D,SV,2,,1,1,C,0,202,0,202,50,
N6IRD,,575,1B2B,AL,5,,2,1,B,0,10,1,11,470,
N6KEN,,270,1E,SV,2,,1,1,B,6,0,48,54,150,
N6KHO,,434,1D,OR,2,Valley RC of Oregon,1,1,C,0,96,0,96,50,
N6KM,,122,1D,SDG,2,,1,1,C,13,0,10,23,50,
N6MDV (+K6VHY),,588,1B2,LAX,2,,2,1,B,42,0,35,77,350,
N6MI,,7926,2A,SB,2,Tom's Garage ARC,6,2,G,1141,152,842,2135,1070,
N6MTS,,220,1C,SB,2,,1,1,B,0,0,35,35,150,
N6NA,,2822,4A,SV,2,River City AR Comms Soc.,10,4,B,300,95,246,641,750,
N6NFB,,174,1E,SJV,2,Lodi ARC,1,1,B,0,0,12,12,150,
N6NKO,,730,1E,WI,2,,1,1,B,0,70,0,70,450,
N6NO,,1052,1D,LAX,2,PRC/SPARC/JPLARC/CITARC,1,1,C,225,0,1,226,150,
N6OHI,,70,1D,SCV,2,,1,1,C,0,0,10,10,50,
N6OOA,,1226,1A,SJV,2,Central Valley AR Enthusiasts,3,1,B,0,0,438,438,350,
N6OV,,1136,3A,ORG,2,Bishop ARC,10,3,G,0,0,193,193,750,
N6P,W6SPR,7049,4A,LAX,2,PRC/SPARC/JPLARC/CITARC,30,4,G,581,167,1061,1809,1935,
N6PAZ,,1052,1E,SJV,2,,1,1,B,150,0,1,151,450,
N6PBJ,,98,1D,NFL,2,Silver Springs RC,1,1,C,0,10,4,14,50,
N6PM,,622,1D,ORG,2,South Orange ARA,1,1,C,0,143,0,143,50,
N6PRZ,,114,1D,EB,2,,1,1,C,0,16,0,16,50,
N6PWY,,1334,3A,SDG,2,Poway ARS,30,3,G,0,196,50,246,450,
N6R,,6976,10A,SB,2,Ventura Co. ARS/Simi Settlers ARC,82,10,G,92,483,1313,1888,2050,
N6RAM,,382,1D,STX,2,Brazos Valley ARC,1,1,C,0,83,0,83,50,
N6RK,,3726,1E,SV,2,,1,1,G,894,0,0,894,150,
N6RY,,0,1D,AZ,1,,1,1,C,0,55,0,55,0,Y
N6RZR,,515,1B1B,SF,5,Northern CA Contest Club,1,1,B,0,30,13,43,150,
N6SBC,,2626,6A,SCV,2,San Benito Co. ARA,14,6,B,0,235,68,303,1550,
N6SJV,,896,3A,SJV,2,Lodi ARC,19,3,B,0,0,48,48,800,
N6SSF,,408,3F,SCV,2,SSF Fire CERT,6,3,C,0,0,54,54,300,
N6TNT,,210,1D,AZ,2,Arizona Outlaws Contest Club,1,1,C,0,40,0,40,50,
N6TQ,,592,1E,SF,2,Redwood Empire DX Assn.,1,1,S,135,0,1,136,50,
N6TR,,595,1AB,IN,5,Boring ARC,3,1,B,14,0,1,15,450,
N6US,,4094,1E,NM,2,Bay Area Radio Killowats,2,1,B,1011,0,0,1011,50,
N6UTC,,784,1D,LAX,2,Assoc. Radio Amateurs of Long Beach,1,1,C,8,110,31,149,250,
N6VH,,136,1D,SDG,2,,1,1,C,16,0,11,27,50,
N6VI,,3450,5A,LAX,2,ARESLAX NW,9,5,G,299,106,290,695,1250,
N6VNO,,770,1B1B,SCV,5,,1,1,B,32,0,0,32,1250,
N6WB,,2260,1A,SDG,2,Escondido ARS,14,1,G,260,55,125,440,750,
N6WT,,1174,1E,SB,2,,1,1,B,201,0,110,311,150,
N6WYZ,,700,1B1,SV,2,Sierra Foothills ARC,1,1,B,0,34,207,241,150,
N6ZDH,,294,1D,SJV,2,,1,1,C,0,60,2,62,50,
N6ZEN,,74,1E,SCV,2,Half Moon Bay ARC,1,1,B,0,6,0,6,50,
N7A,,1458,1F,NV,2,Amargosa ARC,6,1,C,0,100,104,204,850,
N7CFO,,302,1B1,EWA,2,,1,1,B,0,0,76,76,150,
N7CN (+NA7RF),,1074,1B2,UT,2,,2,1,G,0,0,237,237,600,
N7DB,,612,1D,OR,2,,1,1,C,57,40,37,134,150,
N7DLV,,828,1B1,WWA,2,,1,1,B,0,0,114,114,600,
N7DZ,,1606,1B1,OR,2,Radio Soc. of Tucson,1,1,B,314,0,0,314,350,
N7EI (+AG7FU),,430,1B2,OR,2,Columbia (OR) ARA,2,1,B,0,0,190,190,50,
N7EPD,,2346,1E,WWA,2,Western WA DX Club,1,1,B,475,0,48,523,350,
N7FVQ,,330,1D,AZ,2,,1,1,C,0,70,0,70,50,
N7GHZ,,1894,1E,AZ,2,Tortolita Radio Club,1,1,B,0,436,0,436,150,
N7GTE,,0,1D,UT,1,,1,1,C,39,0,228,267,0,Y
N7GV,WE7GV,2062,2AC,AZ,2,Green Valley ARC,16,2,C,287,0,32,319,850,
N7HCN,,950,1E,EWA,5,,1,1,B,60,0,0,60,350,
N7HYV,,364,1D,NV,2,,1,1,C,25,5,97,127,50,
N7KN,,580,1E,WWA,2,,1,1,B,76,0,63,139,150,
N7LD,,418,1D,NV,2,,1,1,C,0,0,184,184,50,
N7LE,W7SAG,5909,3A,OR,2,Central OR DX Club,13,3,G,677,322,384,1383,1145,
N7MJL,,0,1D,WWA,1,,1,1,C,0,13,0,13,0,Y
N7MKY,,854,1D,ID,2,,1,1,C,0,201,0,201,50,
N7MU,,138,1D,WWA,2,,1,1,C,22,0,0,22,50,
N7NB,,1040,1E,WWA,5,,1,1,B,79,0,0,79,250,
N7ON,,282,1D,NV,2,,1,1,C,58,0,0,58,50,
N7OS,,2186,3A,WWA,2,Microhams ARC,34,3,B,127,28,198,353,1170,
N7OY,NJ7OK,1114,3A,OR,2,Lincoln Co. ARC,12,3,G,0,0,82,82,950,
N7PIB,,568,1E,SF,2,Valley of the Moon ARC,1,1,S,0,117,0,117,100,
N7PVW,,130,1D,KY,2,,1,1,C,0,20,0,20,50,
N7PWZ,,170,1D,AZ,2,Thunderbird ARC,1,1,C,0,30,0,30,50,
N7RB,,2328,5A,MT,2,Capital City ARC,30,5,G,224,44,53,321,1150,
N7RBL,,1136,1D,UT,2,,1,1,C,0,196,16,212,320,
N7RCS,,500,1B1B,WWA,5,,1,1,B,25,0,0,25,250,
N7RGF,,780,1B1B,OR,5,,1,1,B,0,53,0,53,250,
N7RLV,,265,1E,WWA,5,Mike & Key ARC,1,1,B,0,0,23,23,150,
N7RVD,,1880,1B1,WWA,2,,1,1,B,177,140,6,323,600,
N7SE,,910,1E,CO,2,,1,1,B,190,0,0,190,150,
N7SG,,350,1B1,OR,2,,1,1,B,50,0,0,50,150,
N7SU,,798,1D,AZ,2,,1,1,C,187,0,0,187,50,
N7TAR,N7TWL,686,3A,AZ,2,Tonto ARA,5,3,B,0,3,12,15,650,
N7TPR,,84,1D,WWA,2,,1,1,C,0,0,17,17,50,
N7U,,3086,5A,UT,2,Rainbow Canyon ARC,28,5,G,361,50,191,602,1060,
N7UFC,,670,1D,WWA,2,,1,1,C,0,127,1,128,160,
N7ULT,,82,1A,AZ,2,,3,1,B,0,0,16,16,50,
N7UVH,,3342,2D,ID,2,Spokane DX Assn.,1,2,C,0,823,0,823,50,
N7VAZ,,112,1D,NV,2,Sierra Nevada ARS,1,1,C,0,0,31,31,50,
N7VGO,,252,1D,WWA,2,,1,1,C,0,48,5,53,50,
N7VM,,158,1D,SDG,2,,1,1,C,0,27,0,27,50,
N7VR,,294,1E,MT,2,,1,1,G,0,36,0,36,150,
N7W,N7GCR,6152,2A,WY,2,Carbon Co. DX Club,9,2,B,623,13,1464,2100,680,
N7WAH,K7SH,2334,1A,WWA,2,Wahkiakum Co. ARC,20,1,B,0,291,60,351,1050,
N7WS,,414,1D,AZ,2,,1,1,C,0,0,132,132,150,
N7WTG,,130,1D,EWA,2,,1,1,C,0,20,0,20,50,
N7WY,,658,1D,WY,2,Shy-Wy ARC,1,1,C,151,0,2,153,50,
N7XQA,,58,1D,AZ,2,Explorer Post 599,2,1,C,0,0,4,4,50,
N7XW,,705,1B1B,WWA,5,,1,1,B,47,0,17,64,150,
N7YMZ,,204,1B1,SCV,2,,1,1,B,0,0,27,27,150,
N7YO,,880,1C,MT,1,West Valley ARC (AZ),2,1,C,0,0,830,830,50,
N8A,,5070,1E,OH,5,,2,1,B,270,175,0,445,620,
N8ALB,,94,1D,OH,2,,1,1,C,11,0,0,11,50,
N8BC,,3374,5A,OH,2,Lake Co. ARA,12,5,G,646,59,102,807,350,
N8BOA,,502,1B1,MI,2,,1,1,G,63,0,0,63,250,
N8BTR,,70,1D,WI,2,,1,1,C,0,5,0,5,50,
N8BV,,904,1D,OH,2,Oh-Ky-In ARS,1,1,C,0,0,427,427,50,
N8BVD,,350,1D,OH,2,Splinter Grp. ARC,1,1,C,0,50,0,50,150,
N8CPA,,850,1D,OH,2,,1,1,C,200,0,0,200,50,
N8DPD,,774,1D,OH,2,Ashtabula Co. ARC,1,1,C,0,181,0,181,50,
N8DRJ,,160,1D,OH,2,,1,1,C,0,27,1,28,50,
N8EFO (+N8MPF),,2615,2B2B,OH,5,,2,2,B,131,0,121,252,700,
N8ERL,,530,1D,MI,2,Saginaw Valley ARA,1,1,C,9,86,0,95,150,
N8FYL,,314,1D,MI,2,,1,1,C,41,0,0,41,150,
N8HWV,,340,1D,WI,2,,1,1,C,70,0,5,75,50,
N8II,,4134,1D,WV,2,,1,1,C,116,905,0,1021,50,
N8JXJ,,176,1D,OH,2,Mound ARA,1,1,C,0,0,63,63,50,
N8KQ,,322,1D,OH,2,,1,1,C,68,0,0,68,50,
N8LC,K8AJJ,4834,4AC,MI,2,L'Anse Creuse ARC,25,4,C,346,351,268,965,1510,
N8LOV,,156,1E,OH,2,,1,1,B,0,0,3,3,150,
N8LZI,,106,1D,OH,2,,1,1,C,0,0,28,28,50,
N8M,,1324,2A,WV,2,MAPOA,14,2,G,21,142,161,324,350,
N8MD,,168,1D,MN,2,,1,1,C,0,0,59,59,50,
N8MR,,1244,1B1,MI,2,Livonia ARC/Ford ARL,1,1,B,273,0,1,274,150,
N8MRS,,408,1D,OH,2,Oh-Ky-In ARS,1,1,C,0,62,5,67,150,
N8NC,,1685,5AB,OH,5,North Coast ARC,9,5,B,1,0,145,146,950,
N8NCR,,1586,1E,WPA,2,,1,1,B,0,46,476,522,450,
N8OCN,,1866,4D,OH,2,145.21 Grp.,4,4,C,212,0,484,696,50,
N8OQ,,2440,1E,VA,5,Fluvanna ARES Grp.,1,1,B,0,219,0,219,250,
N8OVI,,518,1A,MI,2,Novi ARC,3,1,S,84,0,16,100,150,Y
N8PFK,,1594,1E,MI,2,,1,1,B,0,361,0,361,150,
N8PN,,160,1B1B,MI,5,,1,1,B,0,1,0,1,150,
N8QA,,1333,5AC,OH,1,Portsmouth RC,15,5,C,0,190,403,593,550,
N8RAT,,1218,1E,WV,2,,1,1,G,0,0,534,534,150,
N8RQ,,96,1D,OH,2,,1,1,C,0,0,23,23,50,
N8SL,,2900,4A,MI,2,South Lyon Area ARC,32,4,G,73,117,490,680,1160,
N8SLT,,482,1E,WV,2,Central WV Wireless Assn.,1,1,G,0,0,116,116,250,
N8TCP,,1214,1E,OH,2,Splinter Grp. ARC,1,1,G,0,241,0,241,250,
N8TLS,,96,2D,OH,2,,1,2,C,0,0,23,23,50,
N8TP,,242,1E,GA,2,,1,1,B,0,0,46,46,150,
N8UC,,206,1D,MI,2,Black River ARC,1,1,C,0,39,0,39,50,
N8UPC,,148,1D,OH,2,,1,1,C,0,16,17,33,50,
N8VBL,,192,1B1,MI,2,,1,1,B,0,0,21,21,150,
N8VU,,204,1D,GA,2,,1,1,C,0,0,77,77,50,
N8VV,,402,1D,OH,2,Coshocton Co. ARA,1,1,C,88,0,0,88,50,
N8WUA,,622,1D,OH,2,Splinter Grp. ARC,1,1,C,0,143,0,143,50,
N8WXQ,,2155,1B1B,WPA,5,,1,1,B,181,0,19,200,250,
N8XI,,872,1D,MI,2,Livonia ARC/Ford ARL,1,1,C,196,0,19,215,50,
N8XMS,,410,1B1B,MI,5,,1,1,B,16,0,0,16,250,
N8YDM,,134,1D,OH,2,,1,1,C,0,0,42,42,50,
N9AGC,,1034,5A,OH,2,,5,5,G,0,82,28,110,650,
N9AJD,,636,1D,IN,2,,1,1,C,2,124,41,167,50,
N9ARC,,74,1F,IL,2,ARC of Illinois,3,1,C,0,0,12,12,50,
N9ARX,,0,1D,NE,0,Heartland DX Assn.,1,1,C,0,0,84,84,0,Y
N9AUP,,314,1D,IL,2,,1,1,C,0,66,0,66,50,
N9BCN,KD9YPY,7581,2A,IN,2,Piglet Radio,17,2,B,660,109,1130,1899,2245,
N9BDR,,186,2D,WI,2,,2,2,C,0,29,10,39,50,
N9CHA,,646,1E,WI,2,,2,1,G,0,0,148,148,350,
N9CQQ,,254,1E,WI,2,,1,1,B,0,51,0,51,50,
N9CX,,0,1D,OH,1,CRES ARC,1,1,C,115,0,2,117,0,Y
N9DPP,,386,1E,IN,2,Smoky Mountain ARC,1,1,G,0,0,118,118,150,
N9EDK,,206,1D,CO,2,,1,1,C,0,38,2,40,50,
N9EOC,KB9FJV,1031,3A,IN,2,Central IN ARA,13,3,B,0,11,86,97,815,
N9EP,,2634,1C,IL,2,,1,1,B,508,83,10,601,250,
N9GMT,,6574,9E,WI,2,FM38 Repeater Grp.,10,9,G,323,505,1056,1884,1150,
N9HC,,1482,3AC,IN,2,Hendricks Co. ARS,30,3,C,0,82,152,234,850,
N9HOX,,350,1B1,IL,2,,1,1,B,0,0,50,50,250,
N9HXR,,278,1E,IL,2,Windy City ARS,1,1,B,0,32,0,32,150,
N9JCA,,202,1D,IN,2,,1,1,C,0,38,0,38,50,
N9LPQ,,194,1E,WI,2,,1,1,B,0,11,0,11,150,
N9LQP,,82,2F,IN,2,AR of Decatur Co.,2,2,C,0,0,16,16,50,
N9MSG,,1334,1D,IL,2,Peoria Area ARC,1,1,C,181,95,40,316,150,
N9N,W9ET,4333,5A,WI,2,Yellow Thunder ARC,10,5,G,3,357,459,819,1975,
N9NAV,,118,1D,WI,2,Wolf River ARC,1,1,C,0,7,20,27,50,
N9NDB,,86,1D,IN,2,,1,1,C,0,0,18,18,50,
N9OHW,,1015,1B1B,SCV,5,,1,1,B,59,0,15,74,350,
N9PHS,,1606,3A,WI,2,Burnett Washburn RA,10,3,G,2,216,132,350,470,
N9PJM,,930,1E,IN,5,,1,1,B,0,58,0,58,350,
N9PQJ,,186,1D,SC,2,,2,1,C,0,0,58,58,70,
N9RJV,KD9FMN,6335,2A,IL,2,Schaumburg ARC,50,2,G,1082,37,172,1291,1515,
N9TBD,,262,1D,IL,2,Bolingbrook ARS,1,1,C,0,53,0,53,50,
N9TF,,2350,1D,TN,2,Soc. of Midwest Contesters,1,1,C,575,0,0,575,50,
N9WH,KD9PPX,5649,3A,IL,2,The 415 ARC,17,3,G,262,333,517,1112,2235,
N9WKW,,370,1C,IN,2,,1,1,B,80,0,0,80,50,
N9WNJ,,150,1D,IN,2,,1,1,C,0,25,0,25,50,
N9ZWY,,678,1E,WI,2,,1,1,B,0,82,0,82,350,
NA0PW,,1786,4A,CO,2,Pueblo West ARC,15,4,B,212,0,44,256,850,
NA1RA,,906,2F,CT,2,Northville ARA,15,2,C,19,0,90,109,650,
NA2NY,,2014,1D,ENY,2,,1,1,C,0,491,0,491,50,
NA3DX,,1924,2AC,OH,2,Long Tail RC,3,2,C,453,0,31,484,50,
NA4DA,,1200,1B1,NFL,2,,1,1,G,0,109,307,416,150,
NA4DC,,3434,2A,SFL,2,Davie/Cooper City ARC,24,2,G,351,153,84,588,1250,
NA4DL,,350,2B1B,TN,5,,1,2,B,0,10,0,10,250,
NA6NA,,216,1D,SDG,2,,1,1,C,0,0,83,83,50,
NA6O,,550,1E,EB,2,Northern CA Contest Club,1,1,B,100,0,0,100,150,
NA7DO,,274,1D,WWA,2,,1,1,C,56,0,0,56,50,
NA7SS,W7YED,4824,3AC,WWA,2,TwoHoots DX Club,10,3,C,614,466,62,1142,380,
NA8SA,,594,2A,OH,2,NASA Glenn ARC,7,2,G,0,15,42,57,450,
NA9J,,214,1D,WCF,2,Charlotte ARS,1,1,C,5,35,2,42,50,
NA9VY,,594,1E,IN,2,,1,1,G,0,111,0,111,150,
NC0B,,602,1E,CO,2,Boulder ARC,1,1,B,0,0,226,226,150,
NC0MO,W0PGH,1207,4AC,MO,2,North Central MO ARC,4,4,C,0,8,25,33,1125,
NC4AR,,1277,1F,NC,2,Tri-Co. ARC (NC),10,1,C,0,0,111,111,1055,
NC4CA,,1908,4F,NC,2,North Carolina Four Co. ARES,4,4,C,0,370,39,409,350,
NC4HH,,2086,4A,NC,2,Hillbilly Hams ARC,8,4,G,0,59,400,459,1050,
NC4LC,,614,3F,NC,2,Lincoln Co. Volunteer Comm.,27,3,C,0,8,56,64,470,
NC4ML,,1756,2AC,NC,2,Moore Co. ARS,23,2,C,0,150,483,633,190,
NC4OC,KN4LHH,3435,5AC,NC,2,Onslow ARC,27,5,C,62,175,701,938,1085,
NC4SW,,530,1B1,NC,2,Potomac Valley RC,1,1,B,0,70,0,70,250,
NC4TT,,866,5AC,NC,2,Yadkin Valley ARC,5,5,C,0,132,44,176,250,
NC4ZO,,810,5AC,NC,2,Randolph ARC (NC),5,5,C,0,64,52,116,450,
NC5T,,216,1B1,STX,2,,1,1,B,0,0,33,33,150,
NC6Q,,534,1D,LAX,2,Assoc. Radio Amateurs of Long Beach,1,1,C,96,0,0,96,150,
NC7G,WA7ST,874,2A,WWA,2,Highline ARC,27,2,B,0,0,62,62,750,
NC7R,,388,1B1,CT,2,,1,1,B,0,0,69,69,250,
NC9P,,718,2D,STX,2,,2,2,C,0,167,0,167,50,
ND0MN,,850,1D,MI,2,,1,1,C,0,200,0,200,50,
ND4DX,,478,1D,NFL,2,,1,1,C,0,107,0,107,50,
ND4X,,1182,1E,KY,2,Paducah ARA,1,1,B,208,0,0,208,350,
ND5DX,KI5JRP,956,3A,NTX,2,North TX ARS,4,3,B,10,10,43,63,790,Y
ND8D,,158,1C,OH,2,,1,1,G,0,0,4,4,150,
ND9G,,204,1C,NFL,2,,1,1,B,0,0,27,27,150,
NE1FO,,1800,4A,NH,2,Northern New England Field AR Ops.,6,4,B,100,22,231,353,850,
NE2R,,782,1D,SNJ,2,Gloucester Co. ARC,1,1,C,183,0,0,183,50,
NE2T,,694,1D,WNY,2,Tompkins Co. ARA,1,1,C,136,0,0,136,150,
NE2V,,3118,1E,NNJ,2,Splitrock ARA,5,1,G,677,0,0,677,410,
NE4MW,,1050,3D,AL,2,BB60 AR Grp.,4,3,C,0,237,26,263,50,
NE4RD,,398,1D,MT,2,,1,1,C,0,87,0,87,50,
NE5A,,1542,1D,OK,2,,1,1,C,373,0,0,373,50,
NE5IL,,382,1D,NTX,2,Plano ARC,1,1,C,0,83,0,83,50,
NE5TX,,2934,3D,STX,2,Eastside ARS,6,3,C,21,46,1308,1375,50,
NE7RD,,374,1E,OR,2,,1,1,B,51,0,10,61,150,
NE7TE,,354,1D,AZ,2,,1,1,C,76,0,0,76,50,
NE7WY,,1390,3A,WY,2,North East WY ARA,7,3,G,0,0,520,520,350,
NE9T,,200,1D,IN,2,Indy Midtown ARC,1,1,C,35,0,5,40,50,
NF1T,,264,1A,WCF,2,Sawgrass Breakfast Club,5,1,B,0,0,7,7,250,
NF3R,,186,1D,EPA,2,Education Alliance for AR,1,1,C,0,34,0,34,50,
NF4AC,NF4RC,9093,4F,NFL,2,Alachua EOC RC,34,4,C,417,1109,132,1658,2725,
NF4L,,1000,1E,GA,2,,1,1,B,0,75,0,75,700,
NF6P,,1418,1B1,WCF,2,,1,1,G,175,0,184,359,350,Y
NF8M,,150,1D,MI,2,,1,1,C,25,0,0,25,50,
NG2S,,286,1D,TN,2,,1,1,C,0,0,118,118,50,
NG4L,,334,1D,WCF,2,Gulf Coast ARC,1,1,C,71,0,0,71,50,Y
NG7M,,4866,1B1,UT,2,,1,1,G,834,43,404,1281,550,
NG7X,,0,1D,AZ,1,,1,1,C,102,120,61,283,0,Y
NH6D,,1250,1D,PAC,2,,1,1,C,0,300,0,300,50,Y
NI0F,,315,1E,KS,5,,1,1,B,0,0,33,33,150,
NI1E,,374,1D,NH,2,Granite State ARA,1,1,C,0,81,0,81,50,
NI4ET,,214,1D,TN,2,,1,1,C,0,41,0,41,50,
NI5B,,294,1E,STX,2,,1,1,B,0,61,0,61,50,
NJ1F,,330,1D,ENY,2,Saratoga Co. ARA,1,1,C,45,0,0,45,150,
NJ2AR,K2HVE,1707,4AC,SNJ,2,Jersey Shore ARS,21,4,C,0,171,84,255,855,
NJ2BC,,1558,5F,NNJ,2,Bergen Co. Em. Mgmt. RC,7,5,G,0,152,140,292,670,
NJ2SP,KD2FSI,4040,3AB,NNJ,5,South Plainfield ARC,11,3,B,169,74,52,295,1350,
NJ4Q,,302,1D,VA,2,Lynchburg ARC,1,1,C,63,0,0,63,50,Y
NJ6Q,,426,1B1,SDG,2,,1,1,B,44,0,0,44,250,
NJ8G,,838,1D,AZ,2,Thunderbird ARC,1,1,C,0,197,0,197,50,
NM1J,,550,1D,EMA,2,Yankee Clipper Contest Club,1,1,C,125,0,0,125,50,
NM1Y,,162,1D,CT,2,Middlesex ARS,1,1,C,0,0,56,56,50,
NM3J,,532,1E,MDC,2,,1,1,B,48,0,95,143,150,
NM4AA,,5500,3E,NFL,2,,3,3,G,865,200,375,1440,490,
NM4N,,450,1E,TN,5,WCARES-TN,1,1,B,30,0,0,30,150,
NM7A,,72,1D,WWA,2,,3,1,C,0,0,11,11,50,
NM8RC,NK5J,550,3F,MI,2,Top of Michigan ARC,11,3,C,0,1,98,99,350,
NN0G,,1070,1B1B,CO,5,Parker Radio Assn.,1,1,B,82,0,0,82,250,Y
NN0Y,,1080,1B1B,CO,5,,1,1,B,0,63,0,63,450,
NN2L,,8220,1E,WNY,5,Rochester (NY) DX Assn.,1,1,S,748,39,0,787,350,
NN3I,,815,1B1B,MDC,5,,1,1,B,36,0,1,37,450,
NN3SI,,2384,3A,MDC,2,Smithsonian ARG,8,3,B,103,20,521,644,850,
NN4EE,,338,1D,GA,2,Athens RC,1,1,C,13,54,0,67,70,
NN4NT,,632,1B1,AL,2,,1,1,B,10,10,1,21,550,
NN4SA,,1966,2E,AL,2,NASA Marshall Space Flight Center ARC,7,2,G,96,137,92,325,850,
NN4VA,,1780,3A,VA,2,Westmoreland ARC,12,3,B,100,3,259,362,850,
NN5G,,408,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,0,179,179,50,
NN5T,,1254,1D,NTX,2,Richardson Wireless Klub,1,1,C,41,260,0,301,50,
NN7O,,366,1D,OR,2,,1,1,C,73,0,12,85,50,
